marz_en,marz_iso,community_hy,civil_contract,armenia_alliance,i_have_honor,prosperous_armenia,bright_armenia,anc,liberal,hanrapetutyun,national_democratic_pole,shirinyan_babajanyan,movement_5165,national_agenda,european,sovereign_armenia,fair_armenia,zartonk,liberty,united_homeland,pan_armenian_statehood,our_home_armenia,homeland_of_armenians,free_homeland,democratic_party,citizens_decision,verelk,registered,ballots_cast,invalid,valid,stations,turnout_pct
Kotayk,AM-KT,Արզնի,336,332,48,70,2,4,5,15,7,12,6,0,4,3,6,10,0,1,1,15,6,2,3,1,2,2274,893,2,891,2,39.27
Kotayk,AM-KT,Բյուրեղավան,2322,1005,56,447,18,32,35,238,41,52,19,4,3,14,16,12,5,3,3,39,43,21,20,5,4,9034,4480,21,4457,6,49.59
Kotayk,AM-KT,Գառնի,3656,747,147,370,20,50,21,84,32,49,27,3,5,12,13,24,2,3,3,28,21,14,8,10,5,9652,5362,8,5354,9,55.55
Kotayk,AM-KT,Ծաղկաձոր,1322,905,172,89,22,43,8,40,33,15,20,0,5,12,6,5,3,1,4,11,14,4,16,2,1,5506,2758,7,2753,7,50.09
Kotayk,AM-KT,Հրազդան,12881,5897,1039,1229,332,455,152,441,280,317,246,15,32,50,61,127,35,8,14,207,261,45,92,51,14,50468,24365,79,24281,35,48.28
Kotayk,AM-KT,Նաիրի,9618,2849,608,595,236,181,272,525,115,180,128,8,29,21,109,68,18,9,11,103,124,45,53,29,6,30097,15999,46,15940,20,53.16
Kotayk,AM-KT,Նոր Հաճըն,6502,2370,579,797,64,155,235,422,147,175,108,7,19,30,38,278,15,8,14,109,136,31,50,20,16,23837,12375,44,12325,17,51.92
Kotayk,AM-KT,Չարենցավան,8081,3252,531,546,108,193,209,409,206,182,123,8,31,42,36,31,27,13,5,139,142,53,134,32,7,29935,14613,71,14540,19,48.82
Kotayk,AM-KT,Ջրվեժ,2299,732,185,233,23,52,58,152,72,89,52,3,5,17,15,11,0,5,4,37,53,12,17,18,2,8423,4161,13,4146,5,49.4
Lori,AM-LO,Ալավերդի,9659,1737,2126,622,372,259,79,270,183,200,92,9,24,35,53,129,12,13,13,97,107,30,29,21,7,33489,16207,24,16178,42,48.39
Lori,AM-LO,Գյուլագարակ,2130,710,86,229,60,40,16,48,32,16,16,2,10,6,10,22,4,1,1,16,22,5,7,3,2,6694,3504,9,3494,7,52.35
Lori,AM-LO,Թումանյան,1970,337,141,132,69,22,13,36,12,9,23,0,1,5,7,28,4,1,1,18,6,3,5,3,0,5436,2865,4,2846,9,52.7
Lori,AM-LO,Լերմոնտովո,101,39,44,19,6,1,1,1,2,0,1,1,0,1,0,1,1,0,0,2,1,0,0,0,0,726,222,0,222,2,30.58
Lori,AM-LO,Լոռի Բերդ,1503,246,50,180,37,12,9,45,21,15,13,0,8,18,8,3,3,1,3,18,5,2,4,10,0,4331,2215,1,2214,9,51.14
Lori,AM-LO,Սպիտակ,9463,2064,1829,698,190,85,108,310,251,118,82,3,12,30,21,23,20,9,46,80,61,24,19,25,4,33231,15620,40,15575,31,47.0
Lori,AM-LO,Ստեփանավան,3669,1208,185,496,84,45,64,134,77,52,65,2,35,29,13,16,7,11,2,80,66,13,14,16,2,14628,6414,20,6385,13,43.85
Lori,AM-LO,Վանաձոր,28222,7255,2319,1720,1744,627,761,1238,743,731,530,30,69,119,83,149,57,19,34,513,469,141,215,85,30,102214,48123,196,47903,64,47.08
Lori,AM-LO,Տաշիր,4848,3044,65,233,62,30,28,59,62,45,25,1,17,25,17,18,3,5,5,63,31,12,9,4,3,22167,8740,26,8714,27,39.43
Lori,AM-LO,Փամբակ,3476,502,208,322,118,37,39,64,19,29,86,0,7,11,14,11,2,4,1,30,14,7,11,5,1,10361,5021,4,5018,16,48.46
Lori,AM-LO,Ֆիոլետովո,54,63,61,9,2,0,0,0,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,906,198,0,195,1,21.85
Shirak,AM-SH,Ախուրյան,10554,1814,345,369,286,124,107,258,106,104,97,4,20,17,39,21,6,5,7,75,75,29,32,15,5,34040,14535,22,14514,38,42.7
Shirak,AM-SH,Ամասիա,1489,434,185,121,25,26,25,28,9,20,13,0,3,5,8,6,1,2,1,19,11,6,7,1,0,5794,2450,5,2445,18,42.29
Shirak,AM-SH,Անի,4964,1091,326,231,66,78,48,126,92,58,65,3,18,29,29,10,5,2,2,28,44,19,14,7,3,17101,7378,22,7358,20,43.14
Shirak,AM-SH,Աշոցք,2380,784,113,380,63,80,39,75,13,13,32,0,5,7,5,82,0,6,1,14,10,6,7,3,3,8453,4130,9,4121,27,48.86
Shirak,AM-SH,Արթիկ,13019,2545,303,449,126,159,132,306,176,129,148,2,17,20,29,29,11,4,33,89,111,139,46,43,11,39269,18102,24,18076,35,46.1
Shirak,AM-SH,Գյումրի,28246,7698,1424,1501,1018,684,632,1354,875,688,577,11,76,116,107,115,86,25,23,473,466,116,174,142,23,122118,46922,249,46650,82,38.42
Syunik,AM-SU,Գորիս,7085,3203,842,468,192,81,371,220,188,91,275,4,23,33,63,37,16,7,20,92,62,25,31,24,9,23582,13466,47,13462,19,57.1
Syunik,AM-SU,Կապան,10685,6641,351,1344,123,162,816,533,189,193,213,21,33,41,67,41,26,12,8,197,121,51,77,25,17,35947,22078,78,21987,52,61.42
Syunik,AM-SU,Մեղրի,3540,1869,59,151,26,64,254,205,88,81,32,4,18,13,43,11,7,5,1,38,25,17,27,6,4,9998,6607,15,6588,16,66.08
Syunik,AM-SU,Սիսիան,9014,2951,247,372,180,152,253,219,113,70,67,6,28,44,30,34,6,7,7,43,53,15,23,17,3,25140,13988,49,13954,41,55.64
Syunik,AM-SU,Տաթև,1545,652,55,53,19,9,29,16,24,5,18,0,4,5,4,2,5,0,5,27,3,2,3,1,1,4489,2506,4,2487,8,55.83
Syunik,AM-SU,Տեղ,1448,496,252,33,16,8,19,21,6,7,20,2,2,10,7,2,1,4,2,9,2,0,4,0,2,4051,2380,3,2373,7,58.75
Syunik,AM-SU,Քաջարան,1976,2640,15,57,14,19,62,144,26,41,11,2,9,11,12,14,3,0,0,11,12,7,7,4,3,6542,5120,20,5100,8,78.26
Tavush,AM-TV,Բերդ,8977,2444,312,316,159,128,87,140,154,96,140,6,30,32,48,46,9,7,12,71,56,84,34,27,11,26194,13464,30,13426,22,51.4
Tavush,AM-TV,Դիլիջան,6449,1756,362,449,70,88,169,217,56,117,58,6,10,25,27,31,8,5,12,99,95,17,21,31,11,20774,10227,32,10189,18,49.23
Tavush,AM-TV,Իջեվան,15847,2496,371,662,146,171,145,170,99,139,105,4,15,27,38,54,14,1,8,75,76,30,37,32,15,36074,20802,30,20777,30,57.66
Tavush,AM-TV,Նոյեմբերյան,8534,2695,334,336,759,160,115,201,86,300,95,7,22,43,40,40,9,17,7,122,70,28,32,65,15,26650,14184,55,14132,26,53.22
Vayots Dzor,AM-VD,Արենի,3439,737,122,179,98,36,36,142,68,69,28,2,4,15,9,17,2,40,1,21,28,13,13,19,1,8777,5154,11,5139,9,58.72
Vayots Dzor,AM-VD,Եղեգիս,1651,647,275,94,51,15,9,66,13,8,13,0,3,3,7,9,3,1,1,4,10,9,4,5,1,4917,2905,2,2902,12,59.08
Vayots Dzor,AM-VD,Եղեգնաձոր,5153,1059,428,452,98,84,72,263,54,64,85,1,10,22,19,54,5,3,2,124,45,36,35,29,2,15828,8212,12,8199,9,51.88
Vayots Dzor,AM-VD,Ջերմուկ,1755,616,455,189,43,35,46,74,50,162,37,6,17,63,13,6,5,8,3,67,28,15,11,13,1,7249,3728,8,3718,7,51.43
Vayots Dzor,AM-VD,Վայք,3268,1011,515,774,75,44,40,110,45,46,37,0,5,13,11,15,4,7,1,39,25,11,10,5,6,9866,6131,14,6117,16,62.14
Yerevan,AM-ER,Աջափնյակ,19180,11109,3565,978,553,1076,707,1717,1037,1105,840,25,143,191,216,204,76,63,25,618,756,193,211,273,65,86419,45154,224,44926,52,52.25
Yerevan,AM-ER,Ավան,8244,5660,2854,504,272,570,337,861,589,500,518,28,40,106,67,157,42,24,10,295,363,114,109,115,37,40896,22562,123,22416,23,55.17
Yerevan,AM-ER,Արաբկիր,16115,17986,2044,954,760,1963,866,2395,1766,1396,1330,47,186,183,154,194,145,60,17,736,920,351,211,358,84,97078,51587,290,51221,54,53.14
Yerevan,AM-ER,Դավթաշեն,7911,4804,888,602,311,480,286,800,501,392,418,18,40,67,76,49,44,11,6,238,308,85,73,107,25,33937,18683,96,18540,19,55.05
Yerevan,AM-ER,Էրեբունի,21514,12859,2585,912,453,923,513,1451,859,987,657,22,121,276,129,156,86,31,28,503,780,156,193,161,85,95716,46740,215,46440,52,48.83
Yerevan,AM-ER,Կենտրոն,15777,18595,2010,1341,890,1815,616,2115,1440,1207,1173,55,202,160,134,238,154,43,28,633,927,308,216,321,85,96655,50768,243,50483,56,52.52
Yerevan,AM-ER,Մալաթիա-Սեբաստիա,27065,12471,2289,822,582,1183,827,2251,971,1218,888,30,117,197,176,215,107,43,38,775,831,236,222,267,67,110703,54269,314,53888,60,49.02
Yerevan,AM-ER,Նոր Նորք,20151,15833,3218,1591,827,1296,886,2135,1273,1415,1235,66,139,231,195,226,121,44,30,744,1102,262,263,293,90,101941,54040,319,53666,57,53.01
Yerevan,AM-ER,Նորք-Մարաշ,2444,1318,925,109,39,138,47,170,102,118,84,4,10,36,15,25,14,6,5,49,97,14,19,10,8,10958,5840,32,5806,6,53.29
Yerevan,AM-ER,Նուբարաշեն,2266,666,280,577,30,30,29,98,63,54,39,2,4,27,19,15,7,2,5,39,36,15,14,10,8,8867,4356,20,4335,5,49.13
Yerevan,AM-ER,Շենգավիթ,28516,13536,2675,1221,617,1243,799,2385,1139,1377,1014,32,119,224,226,196,123,45,47,915,968,222,264,217,53,116376,58453,226,58173,63,50.23
Yerevan,AM-ER,Քանաքեռ-Զեյթուն,11997,8470,2018,806,443,799,441,1150,730,818,658,17,86,122,102,274,97,42,9,419,569,157,152,196,52,59944,30766,130,30624,32,51.32
